0,1,2,3,4,5,6,7,8,9,10
1,"One down, 2041 to go. ;).","This one is too difficult to remember. If the other Kanji are this difficult, I&#039;m giving up.","To learn this one kanji, I <a href="/study/kanji/0.000000E+008"A sleeping Roman I. ;).","One</strong> Line to Rule Them All,<strong> One</strong> Way to Write it;<strong> One Stroke From Left to Right, and With a Pen Lift, Bind it.","Tips for your journey:1)check the keywords (for example with saiga-jp kanji dict or jisho.org or http://dic.yahoo.co.jp + rikaichan). heisig messes up a lot. 2)you&#039;ll get mixed up if you use too many penis euphemisms. i try to stick with just &quot;crotch&quot; for penis. 3)try to use the right meaning of the keyword in your stories. for example 抄&quot;extract&quot; is like an excerpt, not the verb extract.","One</strong> stroke means<strong> one. Simple, yes?","Be sure not to confuse this kanji with 鬱 !","One.","The one-liner."
2,"Two lines.","No wonder the hotel room only cost TWO yen, all it had was a ceiling</em> and a <em>floor.","Roman numeral II, written on its side.","With this one, I have doubled the number of kanjis I know. Next please ;).","Two</strong> =<strong> Two</strong> =<strong> Two</strong> =<strong> Two</strong> =<strong> Two (get it?)","1+1 = 2.","Two Romans are sleeping together.","More tips: 4) You might want to check out Katsuo&#039;s extra keywords: http://forum.koohii.com/viewtopic.php?id=2519 to find commonly occurring combinations which Heisig does not give a name too. In particular, I found it useful to name ten+sideways eye as in 壊 (Darth Vader is a common name for this) and the big flower and small water of 薄, etc. to differentiate it from 漢, etc. (see http://forum.koohii.com/viewtopic.php?id=1079). I like to use seaweed because 藻.","1. ni に ex: 2 houses にけん niken (二軒) 2. futa ふた ex: 2 people ふたり futari (二人) *Note: 二日 futsuka　ふつか　means &quot;2 days&quot; or &quot;the 2nd day&quot; of a month.","Further along, hidden slightly were two lovers, one lying atop the other."
3,"One + two = three.","THREE measurements define the female shape: BUST, WAIST, and HIPS. Waist is the smallest, and for most women the HIPS are wider than the chest.","One (一) on top of two (二), gives three (三).","A threesome: a Roman girl getting sandwitched by two blokes yelling &quot;me too!&quot; (みつ).","A Roman family sleeping together horizontally.Can&#039;t you see the kid between his parents?","The roman numeral III laying on its side.","A threesome: a Roman girl getting sandwitched by two blokes yelling &quot;me too!&quot; (みつ).","1. san　さん ex: 3 people さんにん sannin (三人) 2. みっ ex: みっか mikka (三日) means 3 days or the 3rd day of a month.","Three</strong> is the number that thou shall count and the number of the counting shall be<strong> three.","一 + 二 = three</strong>... [SAN, mi-tsu, mit-tsu:<strong> three]... KF4/DR3072."
4,"FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.","I imagine a giant devouring a human in four</strong> bites. First the giant bites off the person&#039;s head, then he bites the torso, then from the waist to the knees, and finally the giant plucks up the remaining portion of the human legs into his mouth. See the<strong> fourth bite falling in there?","This is a picture of a slab in the morgue. It is pulled out from the drawer, and it is showing only the dead person&#039;s feet. Clearly shi means DEATH.","A man inside four walls.","Four are the legs</em> of the Schrödinger Cat, which is kept in a <em>box, and you don&#039;t know if the cat is dead or alive until you open it.","Be-YON-ce shows off her legs be-4 SHI opens her mouth.","The monster MOUTH eats the HUMAN LEGS in just FOUR bites.","A four months old baby will try to put his feet (human legs</em>) in his <em>mouth.","The show curtains open at FOUR.","There are FOUR directions in which your mouth can tell your legs to walk."
5,"三 + two vertical lines = 5.","Five</strong> - has a THREE, and a small &#039;h&#039;... &#039;high<strong> five&#039;.","This Kanji looks like a &quot;3&quot; Kanji with two added vertical lines. 3+2= 5.","The letter &#039;F&#039; is skiing for the &#039;five&#039; trophies.","三 + II= 5.","The King</em> (<a href="/study/kanji/0.000000E+0070.000000E+00"Five lines to make up ceilling, floor and chair.","If you look closely, you can see that this is a picture of 3 and 5 together on a sled. 5 is in front, this entire thing was his idea. Terrified 3 is only along for the ride in the back of the sled thinking &quot;How did I let 5 talk me into this???&quot;","If you look closely, you can see the number 5 in this kanji.","Some T (tea) for ユ (you, katakana yu). I personally enjoy drinking the stuff five times a day."
6,"Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.","The Devil, always a gentleman, wears a top hat, but his goat legs, betray the Beast. 666 is his number.","Six-Six-SIX ((666)) Mark of the Beast!! Imagine that dapper old beastly fellow summoning his top hat to himself. See it scamper over to him on a little pair of beastly legs.","A top hat with animal legs is clearly the work of the devil. Six</strong><strong> six</strong><strong> six!","Someone lying spread-eagle, ready for &quot;sex&quot; ( SIX</strong> ). —or— Hey, everyone! Come see! I just trapped a<strong> SIX-inch gremlin under my top-hat!","The six members of a person, however the torso was eat by the devil (666).","Eight owns six hats.","This Kanji looks like a little insect crawling along, and as we all know insect have six legs.","Six animal legs</em> sticking out from under the <em>top hat - that&#039;s gotta be some huge insect!","Here are 6 parts of the human body: head, body, 2 arms, 2 legs, however the torso was eaten by the devil (666). [thanks fesgo and andre_breton]."
7,"This kanji is our good old seven, turned upside down.","I wrote it upside down so I crossed it out.","Almost katakana SE = SEVEN.","I crossed</em> it out because I wrote this SEVEN <em>upside down.","If you take the line in the middle out, it&#039;s an upside down seven, Ta-da!","My NANA can&#039;t do exercise number 7, so SHICHI-ts.","Sailing the seven seas - the kanji bears resemblance to one of those old Viking ships they used to sail to America with.","Upside down European 7.","An upside down 7 being &#039;cut&#039; (切) in half.","This is how I write the number seven, only upside-down."
8,"&quot;Hachi&quot; (eight) begins with the sound of the katakana &quot;ha&quot;, and it&#039;s approximately the same character.","The valcano hasn&#039;t erupted for 8 years.","The curtains close at eight.","I eight something so large, it bent my chopsticks.","I eight a volcano! now I got heart burn.","Looks like ハ (and eight is pronounced ハチ）.","A girl who has been with eight guys last night.","This dangerous volcano erupts every eight minutes!","The spider lost 2 of it&#039;s eight legs.","Eight (8) lying down is the symbol of infinite. This almost-parabola opens up to infinite."
9,"Kinda of looks like the kanji of 1　一 with the kanji of 8 八added. So think of it as 一＋八＝九.","Warning - naughty reminder A woman in the doggie style position, waiting for my NINE inches.","It looks like an elaborate letter &quot;n&quot; for nine.","Girl waiting in doggy-style position for her boyfriend. If only she knew back then she would get pregnant and would have to carry a baby for nine months!","Nine baseball players, bowing low on the ground on hands and knees, before the game starts. おねがいします！.","九i九e.","No. 10 got hooked, leaving only 9.","If you pay atention to the first stroke, and half the second one, you can see a katakana ナ, which stands for 「ナイン」 (piece of cake, isn&#039;t it?)","Think of the Nine</strong> Ringwraiths from Lord of the Rings, and associate<strong> Nine with the similar-looking Power</em> (力) . (I find <em>ringwraiths to be a useful extra radical meaning for 九 sometimes).","A man standing to the left, holding a 9 iron golf club."
10,"Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees).","I scared away ten vampires with a single cross!","A roman ten (X) standing on one leg.","Ten looks like a plus sign.","T for ten.","Little t is for 10.","Ask ten</strong> men what the cross means to them and you&#039;ll get<strong> ten different answers.","1 cross and 10 commandments.","Roman Numaral for ten X flipped on its side.","Jonny Depp as Edward Needle</strong>hands has<strong> ten</strong> <strong>needle</strong>s for fingers. He shows you first one hand with the needles pointing from left to your right, then he crosses that with his second hand pointing down to cut someones hair (but he can only scratch their head because he has<strong> ten needles for fingers)."
11,"Looks like a huge open mouth.","When you sneeze, your MOUTH forms a square, and you make a noise that sounds like (KUCHI).","If you say &quot;kuchi&quot; one more time, I&#039;m going to box you in the mouth. (&quot;kuchi&quot; is how your pronounce this kanji, box is the memory symbol ).","（つ゜口゜）つ（Insert something yummy here).","Momma used to say: &quot;Keep your trap shut!&quot; This thing is shaped like a trap door.","Sponge Bob Square Mouth.","An open mouth.","OMNOMNOM.","An aunt&#039;s open, puckering lips saying kuchi-kuchi-koo over her baby niece.","To the baby: &quot;What a beautiful mouth you have. KUCHI KU.&quot;"
12,"Open the window, new day.","Picture two halves of a 24-hr period: Day &amp; Night.","=sun; day</strong>： Each time the SUN rises a new<strong> DAY</strong> begins. <a href="/study/kanji/0.000000E+006"Open window because its a sunny day.","On Sunday, church-goers sings hymns, their tongues wagging in their mouths.","The day is divided by AM and PM which is represented by the line.","The day</strong> that I open my window and the sun actually looks like this is the<strong> day that I know I&#039;ve been in Japan too long.","Ｄａｙ　＝　ニチ　/　ニ　/　ひ　/　び.","Sun...day.","An open window for a beautiful day."
